problem,x,y,x-extra,ff-inst,ff-search,ff-preprocess,ff-total,ff-system,metricFF-inst,metricFF-search,metricFF-preprocess,metricFF-total,metricFF-system,ffha-inst,ffha-search,ffha-preprocess,ffha-total,ffha-system,ffsa-inst,ffsa-search,ffsa-preprocess,ffsa-total,ffsa-system,sgplan522-parsing,sgplan522-total,sgplan522-system,sgplan6-parsing,sgplan6-total,sgplan6-system,ipp-inst,ipp-search,ipp-preprocess,ipp-total,ipp-system,lama-search,lama-preprocess,lama-total,lama-system,c3-system
minimal,23,20,,0.42,8.95,0.430000000000001,9.38,9.422,0.42,28.22,2.05,30.27,30.510,0.42,1.99,2.05,4.04,4.194,0.42,2.00,2.05,4.05,4.195,0.05,0.19,0.215,0.08,0.21,0.229,,,,,,0.04,1.03,1.07,1.817,6.783
minimal,24,20,,0.47,7.43,0.5,7.93,7.983,0.48,23.96,2.28,26.24,26.481,0.48,2.12,2.28,4.40,4.572,0.47,2.12,2.27,4.39,4.558,0.05,0.20,0.231,0.08,0.21,0.242,,,,,,0.04,1.14,1.18,1.963,7.517
minimal,25,20,,0.53,12.75,0.56,13.31,13.378,,,,,,,,,,,,,,,,0.05,0.27,0.295,0.08,0.28,0.302,,,,,,0.05,1.3,1.35,2.165,
minimal,26,20,,0.60,9.81,0.619999999999999,10.43,10.480,,,,,,,,,,,,,,,,0.05,0.29,0.320,0.08,0.30,0.322,,,,,,0.04,1.44,1.48,2.321,
minimal,27,20,,0.67,13.83,0.69,14.52,14.579,,,,,,,,,,,,,,,,0.07,0.23,0.254,0.09,0.23,0.263,,,,,,0.05,1.62,1.67,2.569,
minimal,28,20,,0.74,12.28,0.770000000000001,13.05,13.111,,,,,,,,,,,,,,,,0.08,0.26,0.273,0.09,0.26,0.280,,,,,,0.05,1.77,1.82,2.728,
minimal,29,20,,0.82,18.51,0.849999999999998,19.36,19.419,,,,,,,,,,,,,,,,0.08,0.16,0.182,0.10,0.17,0.203,,,,,,0.06,1.97,2.03,2.970,
minimal,30,20,,0.91,15.08,0.94,16.02,16.093,,,,,,,,,,,,,,,,0.07,0.17,0.190,0.10,0.19,0.210,,,,,,0.06,2.15,2.21,3.178,
minimal,31,20,,1.01,19.92,1.04,20.96,21.037,,,,,,,,,,,,,,,,0.09,0.23,0.251,0.11,0.24,0.265,,,,,,0.07,2.37,2.44,3.468,
minimal,32,20,,1.10,18.08,1.13,19.21,19.291,,,,,,,,,,,,,,,,0.09,0.23,0.264,0.11,0.25,0.274,,,,,,0.06,2.61,2.67,3.711,
minimal,33,20,,1.20,27.01,1.24,28.25,28.336,,,,,,,,,,,,,,,,0.10,0.34,0.363,0.11,0.33,0.363,,,,,,0.06,2.86,2.92,4.037,
minimal,34,20,,1.32,21.30,1.36,22.66,22.751,,,,,,,,,,,,,,,,0.10,0.36,0.385,0.12,0.35,0.379,,,,,,0.07,3.08,3.15,4.253,
minimal,35,20,,1.43,26.22,1.48,27.70,27.791,,,,,,,,,,,,,,,,0.10,0.46,0.492,0.12,0.45,0.475,,,,,,0.07,3.39,3.46,4.631,
minimal,36,20,,1.56,24.68,1.6,26.28,26.372,,,,,,,,,,,,,,,,0.11,0.50,0.524,0.13,0.48,0.504,,,,,,0.07,3.64,3.71,4.910,
minimal,37,20,,1.70,31.93,1.74,33.67,33.796,,,,,,,,,,,,,,,,0.12,0.39,0.419,0.14,0.38,0.409,,,,,,0.09,3.98,4.07,5.306,
minimal,38,20,,1.82,28.40,1.87,30.27,30.376,,,,,,,,,,,,,,,,0.12,0.42,0.445,0.14,0.39,0.429,,,,,,0.08,4.27,4.35,5.628,
minimal,39,20,,1.97,33.61,2.01,35.62,35.740,,,,,,,,,,,,,,,,0.13,0.25,0.279,0.14,0.26,0.289,,,,,,0.09,4.99,5.08,6.375,
minimal,40,20,,2.08,32.13,2.13,34.26,34.381,,,,,,,,,,,,,,,,0.13,0.26,0.288,0.15,0.26,0.303,,,,,,0.09,5.24,5.33,6.654,
minimal,41,20,,2.21,39.57,2.27,41.84,41.976,,,,,,,,,,,,,,,,0.14,0.36,0.386,0.15,0.35,0.384,,,,,,0.12,5.66,5.78,7.152,
minimal,42,20,,2.35,36.29,2.42,38.71,38.847,,,,,,,,,,,,,,,,0.15,0.37,0.402,0.16,0.36,0.401,,,,,,0.09,6.01,6.1,7.542,
minimal,43,20,,,,,,,,,,,,,,,,,,,,,,0.15,0.52,0.553,0.16,0.50,0.527,,,,,,0.1,6.44,6.54,8.007,
minimal,44,20,,,,,,,,,,,,,,,,,,,,,,0.16,0.55,0.581,0.17,0.52,0.547,,,,,,0.11,6.85,6.96,8.455,
minimal,45,20,,,,,,,,,,,,,,,,,,,,,,0.17,0.71,0.753,0.18,0.66,0.683,,,,,,0.14,7.33,7.47,8.990,
minimal,46,20,,,,,,,,,,,,,,,,,,,,,,0.18,0.76,0.785,0.19,0.70,0.725,,,,,,0.11,7.84,7.95,9.530,
minimal,47,20,,,,,,,,,,,,,,,,,,,,,,0.18,0.60,0.633,0.18,0.57,0.591,,,,,,0.12,8.39,8.51,10.136,
minimal,48,20,,,,,,,,,,,,,,,,,,,,,,0.19,0.64,0.663,0.19,0.59,0.619,,,,,,0.12,8.83,8.95,10.600,
minimal,49,20,,,,,,,,,,,,,,,,,,,,,,0.19,0.37,0.399,0.20,0.37,0.401,,,,,,0.16,9.36,9.52,11.194,
minimal,50,20,,,,,,,,,,,,,,,,,,,,,,0.20,0.38,0.415,0.21,0.38,0.413,,,,,,0.12,9.93,10.05,11.765,
minimal,51,20,,,,,,,,,,,,,,,,,,,,,,0.22,0.52,0.556,0.21,0.50,0.531,,,,,,0.14,10.5,10.64,12.373,
minimal,52,20,,,,,,,,,,,,,,,,,,,,,,0.23,0.54,0.577,0.22,0.52,0.550,,,,,,0.14,11.11,11.25,13.020,
minimal,53,20,,,,,,,,,,,,,,,,,,,,,,0.23,0.76,0.793,0.23,0.70,0.730,,,,,,0.15,11.77,11.92,13.754,
minimal,54,20,,,,,,,,,,,,,,,,,,,,,,0.23,0.79,0.825,0.24,0.73,0.759,,,,,,0.15,12.38,12.53,14.379,
minimal,55,20,,,,,,,,,,,,,,,,,,,,,,0.25,1.02,1.050,0.24,0.94,0.968,,,,,,0.2,13.08,13.28,15.236,
minimal,56,20,,,,,,,,,,,,,,,,,,,,,,0.25,1.06,1.096,0.25,0.98,1.004,,,,,,0.16,13.73,13.89,15.910,
minimal,57,20,,,,,,,,,,,,,,,,,,,,,,0.26,0.86,0.887,0.26,0.79,0.827,,,,,,0.17,14.51,14.68,16.733,
minimal,58,20,,,,,,,,,,,,,,,,,,,,,,0.27,0.89,0.942,0.27,0.83,0.861,,,,,,0.17,15.5,15.67,17.735,
minimal,59,20,,,,,,,,,,,,,,,,,,,,,,0.27,0.52,0.555,0.27,0.52,0.543,,,,,,0.18,16.03,16.21,18.293,
minimal,60,20,,,,,,,,,,,,,,,,,,,,,,0.28,0.54,0.571,0.29,0.52,0.552,,,,,,0.18,16.89,17.07,19.195,
minimal,61,20,,,,,,,,,,,,,,,,,,,,,,0.29,0.72,0.756,0.29,0.85,0.885,,,,,,0.24,17.71,17.95,20.129,
minimal,62,20,,,,,,,,,,,,,,,,,,,,,,0.30,0.75,0.782,0.29,0.71,0.739,,,,,,0.19,18.36,18.55,20.735,
minimal,63,20,,,,,,,,,,,,,,,,,,,,,,0.31,1.03,1.066,0.30,0.94,0.975,,,,,,0.21,19.74,19.95,22.197,
minimal,64,20,,,,,,,,,,,,,,,,,,,,,,0.31,1.07,1.110,0.31,0.98,1.015,,,,,,0.21,20.16,20.37,22.658,
minimal,65,20,,,,,,,,,,,,,,,,,,,,,,0.33,1.37,1.410,0.32,1.25,1.289,,,,,,0.28,21.39,21.67,24.024,
minimal,66,20,,,,,,,,,,,,,,,,,,,,,,0.34,1.43,1.469,0.33,1.27,1.313,,,,,,0.22,22.06,22.28,24.660,
minimal,67,20,,,,,,,,,,,,,,,,,,,,,,0.35,1.16,1.196,0.34,1.06,1.091,,,,,,0.23,23.09,23.32,25.746,
minimal,68,20,,,,,,,,,,,,,,,,,,,,,,0.36,1.21,1.241,0.34,1.09,1.132,,,,,,0.23,24.77,25,27.592,
minimal,69,20,,,,,,,,,,,,,,,,,,,,,,0.37,0.72,0.742,0.36,0.68,0.709,,,,,,0.31,25.36,25.67,28.146,
minimal,70,20,,,,,,,,,,,,,,,,,,,,,,0.38,0.73,0.759,0.36,0.69,0.724,,,,,,0.25,26.33,26.58,29.149,
minimal,71,20,,,,,,,,,,,,,,,,,,,,,,0.38,0.96,1.004,0.37,0.90,0.934,,,,,,0.26,27.5,27.76,30.343,
minimal,72,20,,,,,,,,,,,,,,,,,,,,,,0.40,0.99,1.034,0.39,0.93,0.972,,,,,,0.26,28.6,28.86,31.691,
minimal,73,20,,,,,,,,,,,,,,,,,,,,,,0.41,1.36,1.406,0.39,1.23,1.273,,,,,,0.34,29.92,30.26,32.979,
minimal,74,20,,,,,,,,,,,,,,,,,,,,,,0.42,1.41,1.447,0.40,1.29,1.328,,,,,,0.28,31.13,31.41,34.163,
minimal,75,20,,,,,,,,,,,,,,,,,,,,,,0.43,1.80,1.829,0.41,1.60,1.641,,,,,,0.28,32.28,32.56,35.351,
minimal,76,20,,,,,,,,,,,,,,,,,,,,,,0.44,1.86,1.900,0.42,1.66,1.704,,,,,,0.28,33.22,33.5,36.366,
minimal,77,20,,,,,,,,,,,,,,,,,,,,,,0.45,1.52,1.555,0.43,1.35,1.395,,,,,,0.3,34.74,35.04,37.985,
minimal,78,20,,0.70,147.70,0.890000000000015,148.59,148.726,,,,,,,,,,,,,,,,0.46,1.56,1.616,0.44,1.41,1.439,,,,,,0.31,38.59,38.9,41.829,
minimal,79,20,,1.30,156.04,1.49000000000001,157.53,157.656,,,,,,,,,,,,,,,,0.48,0.93,0.966,0.45,0.87,0.908,,,,,,0.32,40.12,40.44,43.398,
minimal,80,20,,1.91,156.07,2.12,158.19,158.343,,,,,,,,,,,,,,,,0.48,0.96,0.989,0.46,0.90,0.929,,,,,,0.32,41.49,41.81,44.797,
