1	1	0.00	0.00	0.00
1	1	0.00	0.00	0.00
1	1	0.00	0.00	0.00
1	2	0.02	0.01	0.03
1	2	0.01	0.00	0.03
1	2	0.02	0.02	0.04
1	3	0.04	0.03	0.14
1	3	0.05	0.02	0.14
1	3	0.04	0.03	0.14
1	4	0.08	0.11	0.41
1	4	0.08	0.10	0.41
1	4	0.08	0.10	0.41
1	5	0.13	0.34	1.07
1	5	0.13	0.32	1.03
1	5	0.13	0.32	1.02
1	6	0.20	1.02	2.46
1	6	0.21	0.97	2.44
1	6	0.21	0.97	2.44
1	7	0.30	8.56	11.25
1	7	0.30	8.58	11.26
1	7	0.28	7.76	10.32
1	8	0.40	16.55	21.05
1	8	0.41	16.56	21.08
1	8	0.44	16.53	21.06
1	9	0.68	30.87	38.31
1	9	0.73	30.86	38.39
1	9	0.62	25.38	32.35
1	10	1.53	55.09	67.19
1	10	1.47	44.41	56.30
1	10	1.48	57.83	70.11
2	1	0.10	0.00	0.11
2	1	0.12	0.00	0.12
2	1	0.10	0.00	0.11
2	2	0.90	0.06	1.04
2	2	0.91	0.06	1.05
2	2	0.90	0.06	1.04
2	3	3.44	0.52	4.48
2	3	4.13	0.55	5.27
2	3	4.03	0.56	5.17
2	4	33.79	2.82	38.54
2	4	34.43	2.80	39.18
2	4	34.57	2.83	39.37
2	5	158.45	7.61	171.05
2	5	159.44	7.60	171.99
