1 , 1 , 1 , 0.00333333 , 0.0266667, 0 , 0.12, 0.01 , 0.06, 0.0203333, 0.027
2 , 2 , 1 , 0 , 0.03, 0 , 0.133333, 0.00666667 , 0.0666667, 0.021, 0.0253333
3 , 2 , 2 , 0.0166667 , 0.0566667, 0 , 0.2, 0.00666667 , 0.0733333, 0.027, 0.0313333
4 , 3 , 1 , 0.00333333 , 0.05, 0 , 0.47, 0.00666667 , 0.0733333, 0.0173333, 0.025
5 , 3 , 2 , 0.00333333 , 0.07, 0.00333333 , 0.226667, 0.01 , 0.0866667, 0.034, 0.0313333
6 , 3 , 3 , 0.0166667 , 0.11, 0.00333333 , 0.336667, 0.0166667 , 0.12, 0.0376667, 0.041
7 , 4 , 1 , 0.01 , 0.07, 0 , 0.19, 0.01 , 0.08, 0.0163333, 0.026
8 , 4 , 2 , 0.0133333 , 0.11, 0 , 0.326667, 0.01 , 0.12, 0.024, 0.0336667
9 , 4 , 3 , 0.0166667 , 0.176667, 0.00666667 , 1.15, 0.0233333 , 0.163333, 0.0446667, 0.042
10 , 4 , 4 , 0.03 , 0.23, 0.01 , 1.54333, 0.02 , 0.153333, 0.056, 0.056
11 , 5 , 1 , 0.01 , 0.11, 0 , 0.253333, 0.01 , 0.13, 0.0156667, 0.0293333
12 , 5 , 2 , 0.0133333 , 0.16, 0 , 0.376667, 0.02 , 0.17, 0.0233333, 0.0376667
13 , 5 , 3 , 0.0233333 , 0.323333, 0.00666667 , 0.69, 0.0166667 , 0.163333, 0.0406667, 0.041
14 , 5 , 4 , 0.0233333 , 0.42, 0.00666667 , 1.08333, 0.03 , 0.303333, 0.0606667, 0.066
15 , 5 , 5 , 0.0433333 , 0.776667, 0.01 , 1.57333, 0.03 , 0.266667, 0.091, 0.072
16 , 6 , 1 , 0.01 , 0.166667, 0.00333333 , 0.37, 0.02 , 0.186667, 0.0163333, 0.036
17 , 6 , 2 , 0.0166667 , 0.33, 0 , 0.79, 0.0133333 , 0.183333, 0.0246667, 0.0373333
