problem,x,y,x-extra,ff-inst,ff-search,ff-preprocess,ff-total,ff-system,metricFF-inst,metricFF-search,metricFF-preprocess,metricFF-total,metricFF-system,ffha-inst,ffha-search,ffha-preprocess,ffha-total,ffha-system,ffsa-inst,ffsa-search,ffsa-preprocess,ffsa-total,ffsa-system,sgplan522-parsing,sgplan522-total,sgplan522-system,sgplan6-parsing,sgplan6-total,sgplan6-system,ipp-inst,ipp-search,ipp-preprocess,ipp-total,ipp-system,lama-search,lama-preprocess,lama-total,lama-system,c3-system
extra,20,20,33,,,,,,,,,,,,,,,,,,,,,0.28,12.59,12.639,0.23,11.02,11.078,,,,,,10.13,2.48,12.61,14.375,
extra,20,20,34,,,,,,,,,,,,,,,,,,,,,0.29,12.69,12.729,0.23,11.01,11.196,,,,,,10.22,2.51,12.73,14.596,
extra,20,20,35,,,,,,,,,,,,,,,,,,,,,0.30,12.75,12.795,0.24,11.23,11.296,,,,,,10.23,2.57,12.8,14.848,
extra,20,20,36,,,,,,,,,,,,,,,,,,,,,0.30,12.79,12.833,0.25,11.14,11.191,,,,,,10.32,2.62,12.94,14.863,
extra,20,20,37,,,,,,,,,,,,,,,,,,,,,0.32,12.82,12.863,0.25,11.11,11.171,,,,,,10.31,2.67,12.98,14.907,
extra,20,20,38,,,,,,,,,,,,,,,,,,,,,0.33,12.91,12.952,0.27,11.26,11.326,,,,,,10.45,2.7,13.15,15.148,
extra,20,20,39,,,,,,,,,,,,,,,,,,,,,0.33,12.97,13.015,0.27,11.14,11.256,,,,,,10.54,2.78,13.32,15.374,
extra,20,20,40,,,,,,,,,,,,,,,,,,,,,0.34,13.01,13.054,0.27,11.45,11.517,,,,,,10.54,2.84,13.38,15.368,
extra,20,20,41,,,,,,,,,,,,,,,,,,,,,0.36,13.05,13.091,0.28,11.49,11.720,,,,,,10.61,2.89,13.5,15.633,
extra,20,20,42,,,,,,,,,,,,,,,,,,,,,0.37,13.11,13.145,0.29,11.25,11.314,,,,,,10.73,2.91,13.64,15.814,
extra,20,20,43,,,,,,,,,,,,,,,,,,,,,0.38,13.14,13.191,0.30,11.48,11.648,,,,,,10.73,2.99,13.72,15.816,
extra,20,20,44,,,,,,,,,,,,,,,,,,,,,0.40,13.20,13.248,0.31,11.60,11.746,,,,,,10.76,3.04,13.8,15.949,
extra,20,20,45,,,,,,,,,,,,,,,,,,,,,0.40,13.23,13.280,0.31,11.51,11.636,,,,,,10.81,3.09,13.9,16.112,
extra,20,20,46,,,,,,,,,,,,,,,,,,,,,0.42,13.28,13.321,0.32,11.41,11.655,,,,,,10.84,3.13,13.97,16.256,
extra,20,20,47,,,,,,,,,,,,,,,,,,,,,0.43,13.30,13.352,0.33,11.64,11.821,,,,,,10.93,3.18,14.11,16.394,
extra,20,20,48,,,,,,,,,,,,,,,,,,,,,0.44,13.38,13.427,0.34,11.48,11.539,,,,,,10.98,3.23,14.21,16.499,
extra,20,20,49,,,,,,,,,,,,,,,,,,,,,0.45,13.36,13.414,0.35,11.51,11.597,,,,,,11.06,3.28,14.34,16.636,
extra,20,20,50,,,,,,,,,,,,,,,,,,,,,0.47,13.43,13.464,0.36,11.57,11.700,,,,,,11.08,3.34,14.42,16.724,
extra,20,20,51,,,,,,,,,,,,,,,,,,,,,0.48,13.46,13.515,0.37,11.73,11.916,,,,,,11.1,3.4,14.5,17.029,
extra,20,20,52,,,,,,,,,,,,,,,,,,,,,0.49,13.48,13.535,0.37,11.79,12.150,,,,,,11.2,3.42,14.62,17.141,
extra,20,20,53,,,,,,,,,,,,,,,,,,,,,0.50,13.54,13.588,0.38,11.84,11.993,,,,,,11.24,3.5,14.74,17.279,
extra,20,20,54,,,,,,,,,,,,,,,,,,,,,0.52,13.55,13.615,0.39,11.95,12.176,,,,,,11.34,3.53,14.87,17.386,
extra,20,20,55,,,,,,,,,,,,,,,,,,,,,0.53,13.62,13.675,0.40,11.70,11.790,,,,,,11.39,3.61,15,17.668,
extra,20,20,56,,,,,,,,,,,,,,,,,,,,,0.55,13.61,13.666,0.41,12.02,12.276,,,,,,11.37,3.64,15.01,17.787,
extra,20,20,57,,,,,,,,,,,,,,,,,,,,,0.56,13.77,13.810,0.42,12.03,12.110,,,,,,11.52,3.72,15.24,17.949,
extra,20,20,58,,,,,,,,,,,,,,,,,,,,,0.58,13.70,13.745,0.43,12.07,12.127,,,,,,11.54,4.36,15.9,18.590,
extra,20,20,59,,,,,,,,,,,,,,,,,,,,,0.58,13.75,13.807,0.44,11.97,12.147,,,,,,11.55,4.46,16.01,18.867,
extra,20,20,60,,,,,,,,,,,,,,,,,,,,,0.59,13.78,13.832,0.45,11.89,12.003,,,,,,11.69,4.43,16.12,18.981,



extra,20,20,61,0.77,3.01,0.98,3.99,4.055,,,,,,,,,,,,,,,,0.62,13.84,13.888,0.46,12.09,12.156,,,,,,11.68,4.55,16.23,18.903,
extra,20,20,62,1.34,3.05,1.56,4.61,4.694,,,,,,,,,,,,,,,,0.63,13.88,13.928,0.47,12.20,12.254,,,,,,11.71,4.59,16.3,19.093,
extra,20,20,63,1.93,3.05,2.14,5.19,5.307,,,,,,,,,,,,,,,,0.64,13.87,13.924,0.47,11.94,12.086,,,,,,11.8,4.67,16.47,19.237,
extra,20,20,64,2.43,3.07,2.64,5.71,5.853,,,,,,,,,,,,,,,,0.66,13.91,13.965,0.49,12.17,12.235,,,,,,11.89,4.7,16.59,19.458,
extra,20,20,65,,,,,,,,,,,,,,,,,,,,,0.67,13.96,14.009,0.50,12.29,12.357,,,,,,11.83,4.78,16.61,19.471,
extra,20,20,66,,,,,,,,,,,,,,,,,,,,,0.69,13.98,14.051,0.51,12.21,12.464,,,,,,11.9,4.84,16.74,19.890,
extra,20,20,67,,,,,,,,,,,,,,,,,,,,,0.70,14.02,14.069,0.52,12.19,12.269,,,,,,11.97,4.89,16.86,19.890,
extra,20,20,68,,,,,,,,,,,,,,,,,,,,,0.72,14.07,14.119,0.53,12.37,12.636,,,,,,12.09,4.97,17.06,20.092,
extra,20,20,69,,,,,,,,,,,,,,,,,,,,,0.74,14.12,14.173,0.54,12.54,12.714,,,,,,12.12,5.02,17.14,20.039,
extra,20,20,70,,,,,,,,,,,,,,,,,,,,,0.75,14.14,14.193,0.55,12.45,12.602,,,,,,12.25,5.09,17.34,20.304,
extra,20,20,71,,,,,,,,,,,,,,,,,,,,,0.77,14.16,14.227,0.56,12.31,12.447,,,,,,12.2,5.14,17.34,20.370,
extra,20,20,72,,,,,,,,,,,,,,,,,,,,,0.79,14.27,14.332,0.57,12.36,12.527,,,,,,12.19,5.23,17.42,21.059,
extra,20,20,73,,,,,,,,,,,,,,,,,,,,,0.80,14.20,14.259,0.59,12.62,12.669,,,,,,12.28,5.29,17.57,20.742,
extra,20,20,74,,,,,,,,,,,,,,,,,,,,,0.82,14.26,14.306,0.59,12.41,12.588,,,,,,12.39,5.36,17.75,20.927,
extra,20,20,75,,,,,,,,,,,,,,,,,,,,,0.84,14.36,14.403,0.61,12.52,12.596,,,,,,12.39,5.39,17.78,20.972,
extra,20,20,76,,,,,,,,,,,,,,,,,,,,,0.85,14.35,14.399,0.61,12.38,12.499,,,,,,12.43,5.48,17.91,21.117,
extra,20,20,77,,,,,,,,,,,,,,,,,,,,,0.87,14.41,14.453,0.63,12.55,12.613,,,,,,12.46,5.53,17.99,21.248,
extra,20,20,78,,,,,,,,,,,,,,,,,,,,,0.89,14.51,14.556,0.65,12.61,12.666,,,,,,12.58,5.58,18.16,21.441,
extra,20,20,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.63,5.64,18.27,21.604,
extra,20,20,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.64,5.69,18.33,21.663,
